Player,Total,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mark Eaton,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pressey,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominique Wilkins,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.522,0.164,0.069,,,0.03,,0.055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
Purvis Short,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde Drexler,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,0.108,,0.003,0.078,0.584,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,
Charles Barkley,2.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,0.145,0.136,0.111,0.667,0.231,0.019,0.852,0.005,0.091,0.007,0.002,,,,,,,,,,,,,,,,,,,,,,
James Worthy,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin McHale,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.326,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Robinson,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat Lever,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Johnson,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Malone,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.045,0.426,0.233,0.148,0.273,0.01,0.017,0.507,0.075,0.857,0.726,0.701,0.258,0.017,,,,,,,,,,,,,,,,,,
Rolando Blackman,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Berry Carroll,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Stockton,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.033,0.01,0.016,0.019,0.001,0.001,0.045,0.011,0.003,0.004,,,0.001,,,,,,,,,,,,,,,,,,
Mark Jackson,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Adams,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Ewing,1.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,0.176,0.021,0.104,0.366,0.252,0.219,,0.05,,,,,,,,,,,,,,,,,,,,,,
Kevin Johnson,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,0.033,0.002,,0.001,,,0.001,,,,,,,,,,,,,,,,,,,,,,
Tom Chambers,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Price,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,0.069,0.01,0.007,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Daughertry,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,0.025,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mullin,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Nance,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Dumars,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.008,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
David Robinson,3.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.496,0.351,0.034,0.723,0.858,0.508,,0.031,0.005,,0.006,,,,,,,,,,,,,,,,,,
Terry Porter,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Smith,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.067,,,,,0.207,0.061,,,,,,,,,,,,,,,,,,,,,
Scottie Pippen,0.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,0.386,0.079,0.2,0.005,0.012,,,,,,,,,,,,,,,,,,,,,
Dennis Rodman,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,0.001,0.009,0.004,,,,,,,,,,,,,,,,,,,,,,,
Danny Manning,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detlef Schrempf,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille O'Neal,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.286,0.576,0.056,0.006,0.268,0.075,0.998,0.466,0.552,0.106,0.145,0.813,,0.002,,,,,,,,,,,,
Shawn Kemp,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.017,,0.065,,,0.006,,,,,,,,,,,,,,,,,,,,
Gary Payton,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.032,0.087,0.091,0.372,0.03,0.149,,0.043,,,,,,,,,,,,,,,,,
Mookie Blaylock,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
Latrell Sprewell,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Willis,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
Anfernee Hardaway,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.319,,,0.001,,,,,,,,,,,,,,,,,,,,
Jason Kidd,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,0.004,0.135,0.021,0.015,0.712,0.026,0.014,,,,,,,,,,,,,,,
Cedric Ceballos,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
Grant Hill,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.327,0.02,0.033,0.093,,,,,,,,,,,,,,,,,,,
Alonzo Mourning,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.004,,0.655,0.303,,,,,,,,,,,,,,,,,,,
Terrell Brandon,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,
Mitch Richmond,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.003,,,,,,,,,,,,,,,,,,,,,
Glen Rice,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,0.006,,,,,,,,,,,,,,,,,,,,,
Anthony Mason,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,0.001,,,,,,,,,,,,,,,,,,
Dikembe Mutombo,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,
Tom Gugliotta,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,
Allen Iverson,1.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.27,0.109,0.904,0.023,0.07,,0.189,0.001,,,,,,,,,,,,,
Steve Smith,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.001,,,,,,,,,,,,,,,,,,,,
Tim Duncan,4.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.627,0.205,0.569,0.757,0.808,0.582,0.258,0.026,0.222,0.02,0.002,0.002,,,0.054,0.017,0.001,,,,
Vin Baker,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,
Antonie Walker,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,
Reggie Miller,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,0.001,,,,,,,,,,,,,,,,,,,
Rik Smits,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
Michael Finley,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.001,0.001,,,,,,,,,,,,,,,,,,
Rod Strickland,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
Chris Webber,0.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.079,0.42,0.029,0.016,,,,,,,,,,,,,,,,
Kevin Garnett,2.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.337,0.122,0.013,0.732,0.991,0.012,,0.005,0.532,,,,,0.001,,,,,,
Arvydas Sabonis,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,
Darrell Armstrong,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.001,,,,,,,,,,,,,,,,,,,
Vince Carter,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.042,0.006,,,,0.002,,,,,,,,,,,,,,
Rasheed Wallace,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,0.001,,,,,,,,,,,
Glenn Robinson,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,4.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.009,0.078,0.417,0.172,,0.386,0.404,0.873,0.577,0.487,0.354,0.291,0.152,,,,,,
Jalen Rose,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,
Tracy McGrady,0.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,0.31,0.359,,0.035,,0.085,0.015,,,,,,,,,,,
Ray Allen,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,0.032,,,,,,,,,,,,,,
Paul Pierce,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.017,0.001,,,,,0.001,0.017,,,,,,,,,,
Jerry Stackhouse,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.002,,,,,,,,,,,,,,,,,
Dirk Nowitzki,1.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.036,0.003,0.275,0.435,0.882,0.004,0.002,0.045,0.093,0.003,,0.006,,,,,
Ben Wallace,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.028,0.02,,,,,,,,,,,,,,,
Steve Nash,2.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.001,,0.839,0.739,0.785,0.014,,0.04,,0.006,,,,,,,
Mike Bibby,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,
Elton Brand,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,0.04,,,,,,,,,,,,,
Peja Stojaković,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.228,,,,,,,,,,,,,,,
Jamal Mashburn,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,
Jermaine O'Neal,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425,,,,,,,,,,,,,,,
LeBron James,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.073,0.55,0.142,0.348,0.969,0.98,0.431,0.888,0.998,0.713,0.425,0.482,0.33,0.731,0.001
Sam Cassell,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,
Baron Davis,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,0.001,,,,,,,,,,,,
Andrei Kirilenko,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,
Carmelo Anthony,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,0.001,0.002,,0.053,,,0.393,0.003,,,,,
Yao Ming,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,
Michael Redd,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,
Dwyane Wade,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.07,0.002,,0.562,0.097,0.02,0.005,0.004,,,,,,
Amar'e Stoudemire,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,0.002,0.021,,0.004,0.007,,,,,,,,
Gilbert Arenas,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,0.024,,,,,,,,,,,,
Marcus Camby,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
P.J. Brown,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Shawn Marion,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,,,,,,,,,,,,,
Chauncey Billups,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344,0.003,,0.027,0.001,,,,,,,,,
Tony Parker,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.001,,0.007,,0.002,0.274,0.071,0.017,,,,,
Chris Bosh,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,0.001,,,,,,,,,
Carlos Boozer,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.001,,,,,,,,,,,
Chris Paul,1.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.159,,0.002,0.318,0.239,0.036,0.095,0.082,,,
Dwight Howard,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.271,0.389,0.531,0.011,,,,,,,
Manu Ginóbili,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,0.002,0.017,,,,,,,,
Deron Williams,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,0.006,,,,,,,,,
Antwan Jamison,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,
Brandon Roy,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,
Kevin Durant,3.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495,0.157,0.735,0.632,0.986,,0.112,0.002,0.065,0.025
Stephen Jackson,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,
Joe Johnson,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.001,,,,,,,
Derrick Rose,0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977,0.004,,,,,,,
Blake Griffin,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,0.347,0.002,,,,
Rajon Rondo,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.01,,,,,,,
Kevin Love,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,0.02,,,,,
Russell Westbrook,1.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.007,,0.271,0.371,0.879,0.075,0.008
James Harden,3.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.068,0.72,0.007,0.746,0.955,0.768
Stephen Curry,2.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.053,0.922,1,0.051,0.005,0.173
Marc Gasol,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.002,,,,
Ty Lawson,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,
David Lee,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,
Joakim Noah,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.258,,,,,
Al Jefferson,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,,,,
Paul George,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,0.352
LaMarcus Aldridge,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.005,,,0.006,
Goran Dragić,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,
Mike Conley,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,
Anthony Davis,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,,0.002,0.441,
Kawhi Leonard,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.484,0.495,,0.013
Klay Thompson,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,
Draymond Green,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,
Damian Lillard,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.205,0.068
Kyle Lowry,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,
Isaiah Thomas,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,
Giannis Antetokounmpo,1.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.074,0.932
John Wall,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,
DeMar DeRozan,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.032,
Jimmy Butler,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,
Joel Embiid,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.049
Victor Oladipo,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,
Nikola Jokić,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
Rudy Gobert,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001
